,Unique_Values,Value_Counts
0,TREMONT ST,937
1,WASHINGTON ST,908
2,BOYLSTON ST,876
3,00 WASHINGTON ST,727
4,75 BOYLSTON ST,704
5,00 MASSACHUSETTS AV,656
6,00 SHAWMUT AV,621
7,39 BOYLSTON ST,563
8,70 ANNUNCIATION RD,544
9,00 TREMONT ST,466
10,618 SHAWMUT AV,435
11,00 HARRISON AV,391
12,870 MASSACHUSETTS AV,390
13,00 E BERKELEY ST,388
14,00 BOYLSTON ST,373
15,00 ALBANY ST,371
16,BLUE HILL AV at HARVARD ST,259
17,500 GENEVA AV,257
18,MORTON ST at NORFOLK ST,243
19,BLUE HILL AV at MORTON ST,237
20,8 ALLSTATE RD,212
21,COLUMBIA RD at WASHINGTON ST,208
22,TALBOT AV at WASHINGTON ST,207
23,DORCHESTER AV,205
24,BLUE HILL AV at COLUMBIA RD,204
25,279 CENTRE ST,200
26,BLUE HILL AV at QUINCY ST,198
27,BLUE HILL AV at TALBOT AV,197
28,40 BOYLSTON ST,190
29,E BROADWAY at L ST,183
30,BLUE HILL AV,182
31,MAVERICK SQ,179
32,00 COLUMBUS AV,179
33,BOYLSTON ST at WASHINGTON ST,179
34,934 PARKER ST,178
35,ADAMS ST at DORCHESTER AV,173
36,0 BLUE HILL AV,169
37,1 CONGRESS ST,167
38,273 E BERKELEY ST,166
39,DEARBORN ST at DUDLEY ST,166
40,BLUE HILL AV at SEAVER ST,164
41,BOWER ST,164
42,BLUE HILL AV at WARREN ST,159
43,246 BORDER ST,154
44,CENTRAL SQ,154
45,85 W NEWTON ST,153
46,00 DARTMOUTH ST,149
47,W NEWTON ST,148
48,SCHOOL ST at WASHINGTON ST,148
49,702 WASHINGTON ST,145
50,86 WHITE ST,142
51,131 HAROLD ST,140
52,444 HARRISON AV,138
53,HUMBOLDT AV at RUTHVEN ST,137
54,1420 DORCHESTER AV,136
55,18 LATTIMORE CT,134
56,COLUMBIA RD,133
57,WINTER ST,129
58,COLUMBUS AV at WASHINGTON ST,128
59,125 TREMONT ST,123
60,BUNKER HILL ST,122
61,18 TROTTER CT,120
62,214 HARVARD ST,120
63,BOWDOIN ST at GENEVA AV,120
64,COLUMBIA RD at DUDLEY ST,119
65,HARVARD ST at WASHINGTON ST,119
66,00 E BROOKLINE ST,119
67,BLUE HILL AV at WESTVIEW ST,119
68,DORCHESTER AV at PARK ST,117
69,COLUMBIA RD at GENEVA AV,115
70,2275 WASHINGTON ST,114
71,BLUE HILL AV at STRATTON ST,114
72,HARVARD ST at VESTA RD,113
73,WASHINGTON ST at WINTER ST,113
74,650 HARRISON AV,112
75,ESSEX ST,111
76,CHENEY ST at MAPLE ST,111
77,ASPINWALL RD at WASHINGTON ST,110
78,0 DUDLEY ST,109
79,0 WASHINGTON ST,109
80,AMERICAN LEGI at BLUE HILL AV,109
81,NIGHTINGALE ST at WALES ST,108
82,ANNUNCIATION RD,108
