,Unique_Values,Value_Counts
0,"BLACK JACKET, BLUE JEANS",1600
1,"WHITE T-SHIRT, BLUE JEANS",1229
2,"BLACK HOODIE, BLUE JEANS",1032
3,"BLACK SHIRT, BLUE JEANS",729
4,"GREY HOODIE, BLUE JEANS",667
5,"BLACK T-SHIRT, BLUE JEANS",626
6,"BLACK COAT, BLUE JEANS",511
7,"WHITE SHIRT, BLUE JEANS",434
8,BLACK JACKET BLUE JEANS,381
9,"BLUE SHIRT, BLUE JEANS",359
10,"BLUE HOODIE, BLUE JEANS",352
11,"BLACK JACKET, BLACK PANTS",300
12,"BLACK JACKET, JEANS",291
13,"BLACK HOODIE, BLACK JEANS",291
14,UNKNOWN,284
15,"RED SHIRT, BLUE JEANS",273
16,"WHITE T-SHIRT, BLACK SHORTS",271
17,"BLACK JACKET, BLACK JEANS",263
18,"WHITE T, BLUE JEANS",262
19,BLACK JACKET,260
20,"BLUE JACKET, BLUE JEANS",259
21,"WHITE T-SHIRT, JEANS",257
22,"BLACK SHIRT, BLACK PANTS",257
23,WHITE T-SHIRT,242
24,"GREY SWEATSHIRT, BLUE JEANS",230
25,ALL BLACK,230
26,"GREY SHIRT, BLUE JEANS",227
27,"BLACK SWEATSHIRT, BLUE JEANS",214
28,"BLUE JEANS, BLACK JACKET",209
29,"RED HOODIE, BLUE JEANS",206
30,"BLACK HOODIE, JEANS",197
31,"GRAY HOODIE, BLUE JEANS",195
32,BLACK HOODIE,177
33,"BROWN JACKET, BLUE JEANS",175
34,"WHITE T-SHIRT, BLACK JEANS",174
35,"GREY T-SHIRT, BLUE JEANS",172
36,"BLACK SHIRT, BLACK JEANS",162
37,"BLACK SHIRT, JEANS",160
38,"GREY JACKET, BLUE JEANS",159
39,"BLUE T-SHIRT, BLUE JEANS",157
40,"BLACK T-SHIRT, JEANS",157
41,"BLACK HOODIE, BLACK PANTS",156
42,"BLACK HAT, BLACK JACKET, BLUE JEANS",145
43,"GREY HOODIE, JEANS",143
44,BLACK T-SHIRT,138
45,"WHITE T-SHIRT, BLACK PANTS",137
46,"BLACK HOODIE, BLUE JEANS, BLACK SNEAKERS",135
47,GREY HOODIE,134
48,"BLACK T-SHIRT, BLACK JEANS",133
49,BLUE JEANS,127
50,"WHITE T-SHIRT, BLUE JEANS, WHITE SNEAKERS",115
51,"WHITE T-SHIRT, BLUE SHORTS",113
52,"BLUE SWEATSHIRT, BLUE JEANS",112
53,"WHITE TANK TOP, BLUE JEANS",110
54,"BLACK T-SHIRT, BLACK SHORTS",107
55,"GREY HOODIE, BLACK JEANS",107
56,"BLACK JACKET, BLUE JEANS, BLACK SNEAKERS",105
57,"RED JACKET, BLUE JEANS",105
58,"BLACK COAT, BLACK PANTS",103
59,BLACK HOODIE BLUE JEANS,102
60,"BLACK COAT, JEANS",100
61,"WHITE SHIRT, BLACK PANTS",100
62,"BLACK T, BLUE JEANS",99
63,"WHITE T-SHIRT, BLUE JEANS, BLACK SNEAKERS",99
64,"BLUE SHIRT, JEANS",99
65,"GREEN JACKET, BLUE JEANS",98
66,"RED T-SHIRT, BLUE JEANS",97
67,"BLUE HOODIE, JEANS",97
68,"BLACK COAT, BLACK JEANS",96
69,"WHITE SHIRT, JEANS",95
70,"WHITE T-SHIRT, TAN SHORTS",94
71,"BLACK T-SHIRT, BLACK PANTS",91
72,DARK CLOTHING,90
73,"BLACK T-SHIRT, BLUE JEANS, BLACK SNEAKERS",89
74,"GREEN SHIRT, BLUE JEANS",89
75,"WHITE TEE, BLUE JEANS",89
76,"BROWN COAT, BLUE JEANS",88
77,BLACK SHIRT,87
78,ALL BLACK CLOTHING,87
79,WHITE T-SHIRT BLUE JEANS,85
80,BLACK SHIRT BLUE JEANS,84
81,"BLUE COAT, BLUE JEANS",83
82,"BLUE JEANS, BLACK HOODIE",82
83,"WHITE SHIRT, BLACK SHORTS",82
84,"GREY HOODIE, BLACK PANTS",82
85,"BLACK JACKET, BLUE JEANS, WHITE SNEAKERS",80
86,"WHITE HOODIE, BLUE JEANS",80
87,"BLACK SHIRT, BLUE JEANS, BLACK SNEAKERS",79
88,"PLAID SHIRT, BLUE JEANS",76
89,"BLUE JEANS, WHITE T-SHIRT",75
90,"BLUE JACKET, JEANS",75
91,"BLACK SHIRT, BLACK SHORTS",75
92,"GRAY SHIRT, BLUE JEANS",75
93,"BLACK HOODIE, BLACK SWEATPANTS",75
94,"WHITE T-SHIRT, KHAKI SHORTS",75
95,"BLACK LEATHER JACKET, BLUE JEANS",74
96,BLUE JACKET BLUE JEANS,73
97,"BROWN SHIRT, BLUE JEANS",73
98,"BLACK SWEATER, BLUE JEANS",71
99,"GRAY SWEATSHIRT, BLUE JEANS",69
100,"GREY SWEATER, BLUE JEANS",68
101,GREY SWEATSHIRT,66
102,"RED SWEATSHIRT, BLUE JEANS",66
103,"BLACK HOODIE, BLUE JEANS, WHITE SNEAKERS",65
104,WHITE SHIRT,65
105,"BROWN HOODIE, BLUE JEANS",65
106,BLACK JACKET JEANS,64
107,"WHITE T-SHIRT, GREY SWEATPANTS",63
108,"BLUE SHIRT, BLACK PANTS",63
109,"WHITE SHIRT, BLACK JEANS",62
110,"TAN JACKET, BLUE JEANS",62
111,BLACK JACKET BLACK PANTS,62
112,BLACK DRESS,60
113,"BLACK SWEATSHIRT, BLACK JEANS",59
114,"BLACK COAT, BLUE JEANS, BLACK SNEAKERS",58
115,GREY HOODIE BLUE JEANS,58
116,BROWN JACKET BLUE JEANS,57
117,"ORANGE SHIRT, BLUE JEANS",57
118,"WHITE SHIRT, BLUE SHORTS",57
119,"BLUE JEANS, BLACK COAT",57
120,"GREY T-SHIRT, JEANS",56
121,"GRAY JACKET, BLUE JEANS",55
122,"BLACK HAT, BLACK HOODIE, BLUE JEANS",55
123,BLACK T-SHIRT BLUE JEANS,55
124,BLACK COAT,55
125,"BLACK TANK TOP, BLUE JEANS",54
126,"BLUE SHIRT, BLUE SHORTS",53
127,BLACK SWEATSHIRT,53
128,BLACK JACKET BLACK JEANS,53
129,"GREY SHIRT, BLACK PANTS",53
130,"BLACK JACKET, DARK JEANS",52
131,"BLUE T-SHIRT, JEANS",52
132,"WHITE T-SHIRT, BLACK SWEATPANTS",52
133,BLACK COAT BLUE JEANS,52
134,BLACK SHORTS,51
135,"BLUE JEANS, BLUE JACKET",51
136,"BLACK HOODIE, BLACK SWEATS",51
137,"T-SHIRT, JEANS",51
138,"GREY SHIRT, JEANS",51
139,"BLACK SWEATSHIRT, BLACK PANTS",50
140,"GRAY T-SHIRT, BLUE JEANS",50
141,"YELLOW SHIRT, BLUE JEANS",49
142,"WHITE T, BLACK SHORTS",49
143,"WHITE T-SHIRT, TAN PANTS",49
144,"BLACK JACKET, TAN PANTS",48
145,"BLUE JEANS, BLACK SHIRT",48
146,"BLACK SWEATSHIRT, JEANS",48
147,"BLACK HOODED SWEATSHIRT, BLUE JEANS",48
148,"GREY HOODIE, BLUE JEANS, BLACK SNEAKERS",48
149,BLUE JACKET,48
150,"WHITE TANK TOP, BLACK SHORTS",48
151,BLUE HOODIE,48
152,"BLACK HOODIE, BLACK JEANS, BLACK SNEAKERS",47
153,"BLUE JEANS, GREY HOODIE",47
154,"WHITE T-SHIRT, GREY SHORTS",47
155,"GREY HOODIE, BLUE JEANS, WHITE SNEAKERS",47
156,WHITE TANK TOP,47
157,"BLACK HAT, BLACK JACKET, BLACK JEANS",46
158,"BLACK T-SHIRT, TAN SHORTS",46
159,"NO SHIRT, BLUE JEANS",46
160,"BLACK HOODIE, GREY SWEATPANTS",46
161,"BLACK TEE, BLUE JEANS",46
162,"BLACK HOODIE, DARK JEANS",45
163,BLUE JEANS BLACK JACKET,45
164,"WHITE T-SHIRT, BLUE JEAN SHORTS",45
165,"GREEN T-SHIRT, BLUE JEANS",45
166,WHITE SHIRT BLUE JEANS,45
167,"GREEN HOODIE, BLUE JEANS",45
168,"PURPLE SHIRT, BLUE JEANS",44
169,"RED SHIRT, BLACK PANTS",44
170,"DARK JACKET, BLUE JEANS",44
171,"WHITE T-SHIRT, RED SHORTS",43
172,"GREY COAT, BLUE JEANS",43
173,"GREY SWEATSHIRT, GREY SWEATPANTS",43
174,"BLUE JEANS, BLACK T-SHIRT",42
175,"BLACK COAT, BLUE JEANS, WHITE SNEAKERS",42
176,BLUE HOODIE BLUE JEANS,42
177,"RED SHIRT, JEANS",42
178,"BLACK JACKET, BLUE JEANS, BROWN BOOTS",42
179,"JEANS, BLACK JACKET",41
180,"BLUE JEANS, BLUE SHIRT",41
181,"RED SHIRT, BLACK SHORTS",41
182,"BLACK JACKET, GREY HOODIE, BLUE JEANS",41
183,"BLACK JACKET, BLUE JEANS, BLACK BOOTS",40
184,"GREY HOODIE, GREY SWEATPANTS",40
185,"GREY HOODIE, BLACK SWEATPANTS",40
186,"BLACK T-SHIRT, BLUE SHORTS",40
187,"GRAY HOODIE, BLACK JEANS",40
188,"WHITE JACKET, BLUE JEANS",39
189,GRAY HOODIE,39
190,BLUE SHIRT,39
191,GREY SWEATSUIT,38
192,"WHITE T, BLACK JEANS",38
193,JEANS,38
194,"BLACK HAT, BLACK JACKET",38
195,"BLACK HAT, BLACK SHIRT, BLUE JEANS",38
196,"BLUE JEANS, BLUE HOODIE",38
197,"BLACK T-SHIRT, GREY SWEATPANTS",38
198,"BLACK JACKET, GREY SWEATPANTS",38
199,"BLUE SHIRT, BLUE PANTS",37
200,"RED SHIRT, BLACK JEANS",36
201,"BLUE SWEATER, BLUE JEANS",36
202,"BLUE SHIRT, BLUE JEANS, BLACK SNEAKERS",36
203,"BLUE HOODIE, BLACK JEANS",36
204,"WHITE SWEATER, BLUE JEANS",35
205,BLUE T-SHIRT,35
206,RED SHIRT,35
207,"RED HOODIE, BLACK JEANS",35
208,RED JACKET BLUE JEANS,35
209,BLUE SHIRT BLUE JEANS,35
210,"PINK SHIRT, BLUE JEANS",34
211,"BLACK SHIRT, TAN SHORTS",34
212,"BLACK T-SHIRT, BLUE JEANS, WHITE SNEAKERS",34
213,"GREY T-SHIRT, BLACK SHORTS",34
214,"BLACK JEANS, BLACK JACKET",34
215,"GREY SWEATSHIRT, JEANS",34
216,"WHITE T-SHIRT, KHAKI PANTS",33
217,"BLACK LEATHER COAT, BLUE JEANS",33
218,"BLUE JEANS, BLACK SWEATSHIRT",33
219,"BLUE JEANS, WHITE SHIRT",33
220,"BLACK HAT, BLACK HOODIE, BLACK JEANS",33
221,"GREY SHIRT, BLACK JEANS",32
222,"JEANS, JACKET",32
223,"WHITE T-SHIRT, WHITE SHORTS",32
224,"BLACK JACKET, BLUE JEANS, BLACK SHOES",32
225,"BLACK SWEATSHIRT, BLACK SWEATPANTS",32
226,"BLUE JACKET, BLACK PANTS",32
227,"WHITE SHIRT, TAN PANTS",32
228,"BLACK HAT, BLACK COAT, BLUE JEANS",32
229,"BLACK JACKET, WHITE T-SHIRT, BLUE JEANS",32
230,RED HOODIE,32
231,"GRAY HOODIE, BLUE JEANS, WHITE SNEAKERS",32
232,"BROWN SWEATER, BLUE JEANS",32
233,"BLACK NORTHFACE JACKET, BLUE JEANS",32
234,"GREY JACKET, JEANS",32
235,"WHITE T-SHIRT, SHORTS",31
236,"BLACK T-SHIRT, BLACK SWEATPANTS",31
237,"BROWN JACKET, JEANS",31
238,"BLACK PANTS, BLACK JACKET",31
239,"BLUE JEANS, GREY T-SHIRT",31
240,"BLACK PANTS, BLACK SHIRT",31
241,"BLUE JACKET, BLUE JEANS, WHITE SNEAKERS",31
242,"DARK HOODIE, BLUE JEANS",31
243,"WHITE T-SHIRT, BL JEANS",31
